id,short_title,long_title,act_number,act_year,enact_date,enforcement_date,jurisdiction,ministry,department,section_count,in_force,unit
export-import-bank-india-act-1981,"The Export-Import Bank of India Act, 1981","An Act to establish a corporation to be known as the Export-Import Bank of India for providing financial assistance to exporters and importers, and for functioning as the principal financial institution for co-ordinating the working of institutions engaged in financing export and import of goods and services with a view to promoting the country s international trade and for matters connected therewith or incidental thereto.",28,1981,1981-09-11,1982-01-01,CENTRAL,Ministry of Finance,Department of Financial Services,41,1,section
export-quality-control-inspection-act-1963,"The Export (Quality Control and Inspection) Act, 1963",An Act to provide for the sound development of the export trade of India through quality control and inspection and for matters connected therewith.,22,1963,1963-08-24,1964-01-01,CENTRAL,Ministry of Commerce and Industry,Department of Commerce,38,1,section
extradition-act-1962,"The Extradition Act, 1962",An Act to consolidate and amend the law relating to the extradition of fugitive criminals and to provide for matters connected therewith or incidental thereto.,34,1962,1962-09-15,1963-01-05,CENTRAL,Ministry of External Affairs,,40,1,section
factories-act-1948-chandigarh-1948,"The Factories Act, 1948",,63,1948,1948-09-23,,Chandigarh,,Labour Department,1,1,section
factoring-regulation-act-2011,"The Factoring Regulation Act, 2011",An Act to provide for and regulate assignment of receivables by making provision for registration there for and rights and obligations of parties to contract for assignment of receivables and for matters connected therewith or incidental thereto.,12,2012,2012-01-22,2012-04-02,CENTRAL,Ministry of Finance,Department of Financial Services,36,1,section
family-courts-act-1984,"The Family Courts Act, 1984","An Act to provide for the establishment of Family Courts with a view to promote conciliation in, and secure speedy settlement of, disputes relating to marriage and family affairs and for matters connected therewith.",66,1984,1984-09-14,,CENTRAL,Ministry of Law and Justice,Department of Justice,23,1,section
faridabad-development-corporation-act-1956,"The Faridabad Development Corporation Act, 1956","An Act to provide for the establishment and regulation of a trading Corporation for the purpose of carrying on and promoting trade and industry in the town of Faridabad, assisting in the rehabilitation of displaced persons settled therein and for matters connected therewith.",90,1956,1956-12-28,1956-12-28,CENTRAL,Ministry of Law and Justice,Legislative Department,36,1,section
farm-laws-repeal-act-2021,"The Farm Laws Repeal Act, 2021","An Act to repeal the Farmers (Empowerment and Protection) Agreement on Price Assurance and Farm Services Act, 2020, the Farmers' Produce Trade and Commerce (Promotion and Facilitation) Act, 2020, the Essential Commodities (Amendment) Act, 2020 and to amend the Essential Commodities Act, 1955.",40,2021,2021-11-30,2021-11-30,CENTRAL,Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",3,1,section
fatal-accidents-act-1855,"The Fatal Accidents Act, 1855",An Act to provide compensation to families for loss occasioned by the death of a person caused by actionable wrong,13,1855,1855-03-27,1855-03-27,CENTRAL,Ministry of Law and Justice,Legislative Department,5,1,section
fema,"The Foreign Exchange Management Act, 1999",An Act to consolidate and amend the law relating to foreign exchange with the objective of facilitating external trade and payments and for promoting the orderly development and maintenance of foreign exchange market in India.,42,1999,1999-12-29,2000-06-01,CENTRAL,Ministry of Finance,Department of Economic Affairs,52,1,section
